Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77066 2.4 0 0
6 4 0.02 77050 2.4 0 0
8 4 0.02 77034 2.4 0 0
10 4 0.02 77018 2.4 0 0
12 4 0.02 77002 2.4 0 0
14 4 0.02 76984 2.4 0 0
16 4 0.02 76967 2.39 0 0
18 4 0.02 76947 2.39 0 0
20 4 0.02 76928 2.39 0 0
22 4 0.03 76909 2.39 0 0
24 4 0.03 76889 2.39 0 0
26 4 0.03 76870 2.39 0 0
28 4 0.03 76849 2.39 0 0
30 4 0.03 76829 2.39 0 0
32 4 0.03 76805 2.39 0 0
34 4 0.03 76780 2.39 0 0
36 4 0.03 76756 2.39 0 0
38 4 0.03 76732 2.39 0 0
40 4 0.03 76706 2.39 0 0
42 4 0.03 76679 2.39 0 0
44 4 0.03 76652 2.38 0 0
46 4 0.03 76624 2.38 0 0
48 4 0.04 76596 2.38 0 0
50 4 0.04 76567 2.38 0 0
52 4 0.04 76536 2.38 0 0
54 4 0.04 76506 2.38 0 0
56 8 0.04 76473 2.38 0 0
58 8 0.04 76439 2.38 0 0
60 8 0.04 76407 2.38 0 0
62 8 0.04 76373 2.38 0 0
64 8 0.04 76337 2.37 0 0
66 8 0.05 76299 2.37 0 0
68 8 0.05 76262 2.37 0 0
70 8 0.05 76224 2.37 0 0
72 8 0.05 76185 2.37 0 0
74 8 0.05 76143 2.37 0 0
76 8 0.05 76100 2.37 0 0
78 8 0.05 76056 2.36 0 0
80 8 0.05 76010 2.36 0 0
82 8 0.06 75963 2.36 0 0
84 8 0.06 75918 2.36 0 0
86 8 0.06 75868 2.36 0 0
88 8 0.06 75818 2.36 0 0
90 8 0.06 75769 2.36 0 0
92 8 0.06 75717 2.35 0 0
94 8 0.07 75663 2.35 0 0
96 8 0.07 75609 2.35 0 0
98 8 0.07 75553 2.35 0 0
100 8 0.07 75494 2.35 0 0
102 8 0.07 75433 2.35 0 0
104 8 0.08 75371 2.34 0 0
106 8 0.08 75310 2.34 0 0
108 16 0.08 75243 2.34 0 0
110 16 0.08 75177 2.34 0 0
112 16 0.08 75106 2.33 0 0
114 16 0.09 75035 2.33 0 0
116 16 0.09 74962 2.33 0 0
118 16 0.09 74886 2.33 0 0
120 16 0.09 74811 2.33 0 0
122 16 0.1 74732 2.32 0 0
124 16 0.1 74648 2.32 0 0
126 16 0.1 74563 2.32 0 0
128 16 0.1 74478 2.31 0 0
130 16 0.11 74387 2.31 0 0
132 16 0.11 74294 2.31 0 0
134 16 0.11 74205 2.31 0 0
136 16 0.12 74110 2.3 0 0
138 16 0.12 74013 2.3 0 0
140 16 0.12 73908 2.3 0 0
142 16 0.12 73805 2.29 0 0
144 16 0.13 73701 2.29 0 0
146 16 0.13 73593 2.29 0 0
148 16 0.14 73481 2.28 0 0
150 16 0.14 73363 2.28 0 0
152 16 0.14 73246 2.28 0 0
154 16 0.15 73124 2.27 0 0
156 16 0.15 73000 2.27 0 0
158 16 0.15 72875 2.26 0 0
160 32 0.16 72743 2.26 0 0
162 32 0.16 72605 2.26 0 0
164 32 0.17 72466 2.25 0 0
166 32 0.17 72323 2.25 0 0
168 32 0.18 72178 2.24 0 0
170 32 0.18 72024 2.24 0 0
172 32 0.19 71870 2.23 0 0
174 32 0.19 71710 2.23 0 0
176 32 0.2 71545 2.22 0 0
178 32 0.2 71372 2.22 0 0
180 32 0.21 71200 2.21 0 0
182 32 0.21 71027 2.21 0 0
184 32 0.22 70850 2.2 0 0
186 32 0.22 70664 2.2 0 0
188 32 0.23 70470 2.19 0 0
190 32 0.24 70275 2.18 0 0
192 32 0.24 70072 2.18 0 0
194 32 0.25 69867 2.17 0 0
196 32 0.26 69647 2.16 0 0
198 32 0.26 69427 2.16 0 0
200 32 0.27 69201 2.15 0 0
202 32 0.28 68967 2.14 0 0
204 32 0.29 68728 2.13 0 0
206 32 0.29 68488 2.13 0 0
208 32 0.3 68238 2.12 0 0
210 32 0.31 67978 2.11 0 0
212 64 0.32 67717 2.1 0 0
214 64 0.33 67453 2.09 0 0
216 64 0.33 67175 2.09 0 0
218 64 0.34 66891 2.08 0 0
220 64 0.35 66593 2.07 0 0
222 64 0.36 66284 2.06 0 0
224 64 0.37 65973 2.05 0 0
226 64 0.38 65651 2.04 0 0
228 64 0.39 65321 2.03 0 0
230 64 0.4 64983 2.02 0 0
232 64 0.41 64635 2.01 0 0
234 64 0.43 64282 2.0 0 0
236 64 0.44 63917 1.98 0 0
238 64 0.45 63546 1.97 0 0
