Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77066 2.4 0 0
6 4 0.02 77051 2.4 0 0
8 4 0.02 77034 2.4 0 0
10 4 0.02 77018 2.4 0 0
12 4 0.02 77001 2.4 0 0
14 4 0.02 76985 2.4 0 0
16 4 0.02 76967 2.39 0 0
18 4 0.02 76948 2.39 0 0
20 4 0.02 76928 2.39 0 0
22 4 0.03 76908 2.39 0 0
24 4 0.03 76887 2.39 0 0
26 4 0.03 76866 2.39 0 0
28 4 0.03 76845 2.39 0 0
30 4 0.03 76823 2.39 0 0
32 4 0.03 76800 2.39 0 0
34 4 0.03 76778 2.39 0 0
36 4 0.03 76754 2.39 0 0
38 4 0.03 76730 2.39 0 0
40 4 0.03 76706 2.39 0 0
42 4 0.03 76678 2.39 0 0
44 4 0.03 76650 2.38 0 0
46 4 0.03 76622 2.38 0 0
48 4 0.04 76594 2.38 0 0
50 4 0.04 76565 2.38 0 0
52 4 0.04 76536 2.38 0 0
54 4 0.04 76506 2.38 0 0
56 8 0.04 76473 2.38 0 0
58 8 0.04 76441 2.38 0 0
60 8 0.04 76408 2.38 0 0
62 8 0.04 76374 2.38 0 0
64 8 0.04 76338 2.37 0 0
66 8 0.05 76300 2.37 0 0
68 8 0.05 76264 2.37 0 0
70 8 0.05 76227 2.37 0 0
72 8 0.05 76186 2.37 0 0
74 8 0.05 76146 2.37 0 0
76 8 0.05 76105 2.37 0 0
78 8 0.05 76060 2.37 0 0
80 8 0.05 76015 2.36 0 0
82 8 0.06 75970 2.36 0 0
84 8 0.06 75922 2.36 0 0
86 8 0.06 75873 2.36 0 0
88 8 0.06 75823 2.36 0 0
90 8 0.06 75772 2.36 0 0
92 8 0.06 75720 2.35 0 0
94 8 0.07 75668 2.35 0 0
96 8 0.07 75610 2.35 0 0
98 8 0.07 75554 2.35 0 0
100 8 0.07 75494 2.35 0 0
102 8 0.07 75434 2.35 0 0
104 8 0.08 75372 2.34 0 0
106 8 0.08 75309 2.34 0 0
108 16 0.08 75244 2.34 0 0
110 16 0.08 75176 2.34 0 0
112 16 0.08 75105 2.33 0 0
114 16 0.09 75035 2.33 0 0
116 16 0.09 74960 2.33 0 0
118 16 0.09 74888 2.33 0 0
120 16 0.09 74811 2.33 0 0
122 16 0.1 74733 2.32 0 0
124 16 0.1 74653 2.32 0 0
126 16 0.1 74569 2.32 0 0
128 16 0.1 74481 2.32 0 0
130 16 0.11 74393 2.31 0 0
132 16 0.11 74302 2.31 0 0
134 16 0.11 74206 2.31 0 0
136 16 0.12 74113 2.3 0 0
138 16 0.12 74015 2.3 0 0
140 16 0.12 73910 2.3 0 0
142 16 0.12 73807 2.29 0 0
144 16 0.13 73699 2.29 0 0
146 16 0.13 73592 2.29 0 0
148 16 0.14 73479 2.28 0 0
150 16 0.14 73365 2.28 0 0
152 16 0.14 73248 2.28 0 0
154 16 0.15 73121 2.27 0 0
156 16 0.15 72992 2.27 0 0
158 16 0.15 72865 2.26 0 0
160 32 0.16 72731 2.26 0 0
162 32 0.16 72597 2.26 0 0
164 32 0.17 72459 2.25 0 0
166 32 0.17 72315 2.25 0 0
168 32 0.18 72169 2.24 0 0
170 32 0.18 72021 2.24 0 0
172 32 0.19 71866 2.23 0 0
174 32 0.19 71708 2.23 0 0
176 32 0.2 71548 2.22 0 0
178 32 0.2 71380 2.22 0 0
180 32 0.21 71211 2.21 0 0
182 32 0.21 71032 2.21 0 0
184 32 0.22 70850 2.2 0 0
186 32 0.22 70665 2.2 0 0
188 32 0.23 70470 2.19 0 0
190 32 0.24 70274 2.18 0 0
192 32 0.24 70071 2.18 0 0
194 32 0.25 69865 2.17 0 0
196 32 0.26 69652 2.16 0 0
198 32 0.26 69436 2.16 0 0
200 32 0.27 69206 2.15 0 0
202 32 0.28 68974 2.14 0 0
204 32 0.29 68740 2.14 0 0
206 32 0.29 68494 2.13 0 0
208 32 0.3 68241 2.12 0 0
210 32 0.31 67985 2.11 0 0
212 64 0.32 67723 2.1 0 0
214 64 0.33 67451 2.09 0 0
216 64 0.33 67173 2.09 0 0
218 64 0.34 66887 2.08 0 0
220 64 0.35 66590 2.07 0 0
222 64 0.36 66285 2.06 0 0
224 64 0.37 65975 2.05 0 0
226 64 0.38 65665 2.04 0 0
228 64 0.39 65342 2.03 0 0
230 64 0.4 65007 2.02 0 0
232 64 0.41 64652 2.01 0 0
234 64 0.43 64297 2.0 0 0
236 64 0.44 63935 1.98 0 0
238 64 0.45 63565 1.97 0 0
