Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.21 57766 2.76 0 0
6 43 0.21 57716 2.75 0 0
8 43 0.22 57667 2.75 0 0
10 43 0.22 57616 2.75 0 0
12 43 0.22 57564 2.75 0 0
14 43 0.22 57506 2.74 0 0
16 43 0.23 57449 2.74 0 0
18 43 0.23 57389 2.74 0 0
20 43 0.23 57330 2.73 0 0
22 43 0.24 57268 2.73 0 0
24 43 0.24 57200 2.73 0 0
26 43 0.24 57136 2.72 0 0
28 43 0.24 57061 2.72 0 0
30 43 0.25 56996 2.72 0 0
32 43 0.25 56917 2.71 0 0
34 43 0.25 56845 2.71 0 0
36 43 0.26 56776 2.7 0 0
38 43 0.26 56704 2.7 0 0
40 43 0.26 56633 2.7 0 0
42 43 0.27 56552 2.69 0 0
44 43 0.27 56474 2.69 0 0
46 43 0.27 56397 2.69 0 0
48 43 0.28 56314 2.68 0 0
50 43 0.28 56216 2.68 0 0
52 43 0.28 56127 2.67 0 0
54 43 0.29 56044 2.67 0 0
56 43 0.29 55958 2.67 0 0
58 43 0.29 55868 2.66 0 0
60 43 0.3 55778 2.66 0 0
62 43 0.3 55688 2.65 0 0
64 43 0.31 55592 2.65 0 0
66 43 0.31 55500 2.64 0 0
68 43 0.31 55396 2.64 0 0
70 43 0.32 55293 2.63 0 0
72 43 0.32 55193 2.63 0 0
74 43 0.32 55094 2.63 0 0
76 43 0.33 54991 2.62 0 0
78 43 0.33 54899 2.62 0 0
80 43 0.34 54798 2.61 0 0
82 43 0.34 54697 2.61 0 0
84 43 0.35 54592 2.6 0 0
86 43 0.35 54495 2.6 0 0
88 43 0.35 54384 2.59 0 0
90 43 0.36 54283 2.59 0 0
92 43 0.36 54173 2.58 0 0
94 43 0.37 54062 2.58 0 0
96 43 0.37 53950 2.57 0 0
98 43 0.38 53848 2.57 0 0
100 43 0.38 53729 2.56 0 0
102 43 0.39 53610 2.55 0 0
104 43 0.39 53491 2.55 0 0
106 43 0.4 53377 2.54 0 0
108 43 0.4 53256 2.54 0 0
110 43 0.41 53130 2.53 0 0
112 43 0.41 53012 2.53 0 0
114 43 0.42 52887 2.52 0 0
116 86 0.42 52767 2.51 0 0
118 86 0.43 52644 2.51 0 0
120 86 0.43 52517 2.5 0 0
122 86 0.44 52384 2.5 0 0
