Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
330 256 1.53 29229 0.9 0 0
332 256 1.57 27908 0.86 0 0
334 256 1.61 26558 0.82 0 0
336 256 1.65 25164 0.78 0 0
338 256 1.7 23738 0.73 0 0
340 256 1.74 22275 0.69 0 0
342 256 1.79 20785 0.64 0 1
344 256 1.84 19268 0.59 0 2
346 256 1.89 17729 0.55 0 1
348 256 1.94 16196 0.5 0 7
350 256 1.98 14665 0.45 0 14
352 256 2.03 13147 0.4 0 17
354 256 2.08 11581 0.36 0 13
356 256 2.13 10074 0.31 0 20
358 256 2.17 8641 0.27 0 34
360 256 2.21 7294 0.22 0 41
362 256 2.25 6003 0.18 0 48
364 256 2.29 4850 0.15 0 64
366 256 2.32 3785 0.12 0 78
368 331 2.35 2860 0.09 0 92
370 342 2.38 1970 0.06 0 115
372 351 2.41 1228 0.04 0 153
374 355 2.42 671 0.02 0 189
376 357 2.44 201 0.01 0 208
378 359 2.44 21 0.0 0 285
380 359 2.44 0 0.0 0 338
382 359 2.44 0 0.0 0 359
384 359 2.44 0 0.0 0 359
386 359 2.44 0 0.0 0 359
388 359 2.44 0 0.0 0 359
390 359 2.44 0 0.0 0 359
392 359 2.44 0 0.0 0 359
394 359 2.44 0 0.0 0 359
396 359 2.44 0 0.0 0 359
398 359 2.44 0 0.0 0 359
400 359 2.44 0 0.0 0 359
402 359 2.44 0 0.0 0 359
404 359 2.44 0 0.0 0 359
406 359 2.44 0 0.0 0 359
408 359 2.44 0 0.0 0 359
410 359 2.44 0 0.0 0 359
412 359 2.44 0 0.0 0 359
414 359 2.44 0 0.0 0 359
416 359 2.44 0 0.0 0 359
418 359 2.44 0 0.0 0 359
420 359 2.44 0 0.0 0 359
422 359 2.44 0 0.0 0 359
424 359 2.44 0 0.0 0 359
426 359 2.44 0 0.0 0 359
428 359 2.44 0 0.0 0 359
430 359 2.44 0 0.0 0 359
432 359 2.44 0 0.0 0 359
434 359 2.44 0 0.0 0 359
436 359 2.44 0 0.0 0 359
438 359 2.44 0 0.0 0 359
