Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
330 172 1.57 24653 1.17 0 0
332 172 1.59 24178 1.15 0 0
334 172 1.61 23693 1.13 0 0
336 172 1.63 23200 1.1 0 0
338 172 1.65 22707 1.08 0 0
340 344 1.67 22193 1.05 0 0
342 344 1.69 21694 1.03 0 0
344 344 1.72 21194 1.01 0 0
346 344 1.74 20674 0.98 0 0
348 344 1.76 20146 0.96 0 0
350 344 1.78 19618 0.93 0 0
352 344 1.8 19086 0.91 0 0
354 344 1.82 18544 0.88 0 0
356 344 1.85 18003 0.85 0 0
358 344 1.87 17432 0.83 0 0
360 344 1.89 16868 0.8 0 0
362 344 1.92 16290 0.77 0 0
364 344 1.94 15710 0.74 0 0
366 344 1.96 15113 0.72 0 0
368 344 1.99 14520 0.69 0 0
370 344 2.01 13914 0.66 0 0
372 344 2.04 13301 0.63 0 0
374 344 2.06 12698 0.6 0 0
376 344 2.09 12088 0.57 0 0
378 344 2.11 11450 0.54 0 0
380 344 2.14 10810 0.51 0 0
382 344 2.17 10169 0.48 0 0
384 344 2.19 9511 0.45 0 0
386 344 2.22 8843 0.42 0 0
388 344 2.25 8180 0.38 0 0
390 344 2.28 7522 0.35 0 0
392 344 2.31 6839 0.32 0 0
394 344 2.33 6134 0.29 0 0
396 344 2.36 5414 0.25 0 0
398 344 2.39 4708 0.22 0 0
400 344 2.42 3965 0.18 0 0
402 344 2.45 3241 0.15 0 0
404 344 2.48 2501 0.11 0 0
406 344 2.51 1760 0.08 0 1
408 344 2.54 1025 0.04 0 10
410 344 2.57 446 0.02 0 65
412 344 2.58 131 0.01 0 167
414 344 2.59 22 0.0 0 267
416 344 2.59 5 0.0 0 330
418 344 2.59 0 0.0 0 339
420 344 2.59 0 0.0 0 344
422 344 2.59 0 0.0 0 344
424 344 2.59 0 0.0 0 344
426 344 2.59 0 0.0 0 344
428 344 2.59 0 0.0 0 344
430 344 2.59 0 0.0 0 344
432 344 2.59 0 0.0 0 344
434 344 2.59 0 0.0 0 344
436 344 2.59 0 0.0 0 344
438 344 2.59 0 0.0 0 344
440 344 2.59 0 0.0 0 344
442 344 2.59 0 0.0 0 344
444 344 2.59 0 0.0 0 344
446 344 2.59 0 0.0 0 344
448 344 2.59 0 0.0 0 344
450 344 2.59 0 0.0 0 344
452 344 2.59 0 0.0 0 344
454 344 2.59 0 0.0 0 344
456 344 2.59 0 0.0 0 344
458 344 2.59 0 0.0 0 344
460 344 2.59 0 0.0 0 344
462 344 2.59 0 0.0 0 344
464 344 2.59 0 0.0 0 344
466 344 2.59 0 0.0 0 344
468 344 2.59 0 0.0 0 344
470 344 2.59 0 0.0 0 344
472 344 2.59 0 0.0 0 344
474 344 2.59 0 0.0 0 344
476 344 2.59 0 0.0 0 344
478 344 2.59 0 0.0 0 344
480 344 2.59 0 0.0 0 344
482 344 2.59 0 0.0 0 344
484 344 2.59 0 0.0 0 344
486 344 2.59 0 0.0 0 344
488 344 2.59 0 0.0 0 344
490 344 2.59 0 0.0 0 344
492 344 2.59 0 0.0 0 344
494 344 2.59 0 0.0 0 344
496 344 2.59 0 0.0 0 344
498 344 2.59 0 0.0 0 344
500 344 2.59 0 0.0 0 344
