Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
502 344 2.59 0 0.0 0 344
504 344 2.59 0 0.0 0 344
506 344 2.59 0 0.0 0 344
508 344 2.59 0 0.0 0 344
510 344 2.59 0 0.0 0 344
512 344 2.59 0 0.0 0 344
514 344 2.59 0 0.0 0 344
516 344 2.59 0 0.0 0 344
518 344 2.59 0 0.0 0 344
520 344 2.59 0 0.0 0 344
522 344 2.59 0 0.0 0 344
524 344 2.59 0 0.0 0 344
526 344 2.59 0 0.0 0 344
528 344 2.59 0 0.0 0 344
530 344 2.59 0 0.0 0 344
532 344 2.59 0 0.0 0 344
534 344 2.59 0 0.0 0 344
536 344 2.59 0 0.0 0 344
538 344 2.59 0 0.0 0 344
540 344 2.59 0 0.0 0 344
542 344 2.59 0 0.0 0 344
544 344 2.59 0 0.0 0 344
546 344 2.59 0 0.0 0 344
548 344 2.59 0 0.0 0 344
550 344 2.59 0 0.0 0 344
552 344 2.59 0 0.0 0 344
554 344 2.59 0 0.0 0 344
556 344 2.59 0 0.0 0 344
558 344 2.59 0 0.0 0 344
560 344 2.59 0 0.0 0 344
562 344 2.59 0 0.0 0 344
564 344 2.59 0 0.0 0 344
566 344 2.59 0 0.0 0 344
568 344 2.59 0 0.0 0 344
570 344 2.59 0 0.0 0 344
572 344 2.59 0 0.0 0 344
574 344 2.59 0 0.0 0 344
576 344 2.59 0 0.0 0 344
578 344 2.59 0 0.0 0 344
580 344 2.59 0 0.0 0 344
582 344 2.59 0 0.0 0 344
584 344 2.59 0 0.0 0 344
586 344 2.59 0 0.0 0 344
588 344 2.59 0 0.0 0 344
590 344 2.59 0 0.0 0 344
592 344 2.59 0 0.0 0 344
594 344 2.59 0 0.0 0 344
596 344 2.59 0 0.0 0 344
598 344 2.59 0 0.0 0 344
600 344 2.59 0 0.0 0 344
602 344 2.59 0 0.0 0 344
604 344 2.59 0 0.0 0 344
606 344 2.59 0 0.0 0 344
608 344 2.59 0 0.0 0 344
610 344 2.59 0 0.0 0 344
612 344 2.59 0 0.0 0 344
614 344 2.59 0 0.0 0 344
616 344 2.59 0 0.0 0 344
618 344 2.59 0 0.0 0 344
620 344 2.59 0 0.0 0 344
622 344 2.59 0 0.0 0 344
624 344 2.59 0 0.0 0 344
626 344 2.59 0 0.0 0 344
628 344 2.59 0 0.0 0 344
630 344 2.59 0 0.0 0 344
632 344 2.59 0 0.0 0 344
634 344 2.59 0 0.0 0 344
636 344 2.59 0 0.0 0 344
638 344 2.59 0 0.0 0 344
640 344 2.59 0 0.0 0 344
642 344 2.59 0 0.0 0 344
644 344 2.59 0 0.0 0 344
646 344 2.59 0 0.0 0 344
648 344 2.59 0 0.0 0 344
650 344 2.59 0 0.0 0 344
652 344 2.59 0 0.0 0 344
654 344 2.59 0 0.0 0 344
656 344 2.59 0 0.0 0 344
658 344 2.59 0 0.0 0 344
660 344 2.59 0 0.0 0 344
662 344 2.59 0 0.0 0 344
664 344 2.59 0 0.0 0 344
666 344 2.59 0 0.0 0 344
668 344 2.59 0 0.0 0 344
670 344 2.59 0 0.0 0 344
672 344 2.59 0 0.0 0 344
674 344 2.59 0 0.0 0 344
676 344 2.59 0 0.0 0 344
678 344 2.59 0 0.0 0 344
680 344 2.59 0 0.0 0 344
682 344 2.59 0 0.0 0 344
684 344 2.59 0 0.0 0 344
686 344 2.59 0 0.0 0 344
688 344 2.59 0 0.0 0 344
690 344 2.59 0 0.0 0 344
692 344 2.59 0 0.0 0 344
694 344 2.59 0 0.0 0 344
696 344 2.59 0 0.0 0 344
698 344 2.59 0 0.0 0 344
700 344 2.59 0 0.0 0 344
702 344 2.59 0 0.0 0 344
704 344 2.59 0 0.0 0 344
706 344 2.59 0 0.0 0 344
708 344 2.59 0 0.0 0 344
710 344 2.59 0 0.0 0 344
712 344 2.59 0 0.0 0 344
714 344 2.59 0 0.0 0 344
716 344 2.59 0 0.0 0 344
718 344 2.59 0 0.0 0 344
720 344 2.59 0 0.0 0 344
722 344 2.59 0 0.0 0 344
724 344 2.59 0 0.0 0 344
726 344 2.59 0 0.0 0 344
728 344 2.59 0 0.0 0 344
730 344 2.59 0 0.0 0 344
732 344 2.59 0 0.0 0 344
734 344 2.59 0 0.0 0 344
736 344 2.59 0 0.0 0 344
738 344 2.59 0 0.0 0 344
740 344 2.59 0 0.0 0 344
742 344 2.59 0 0.0 0 344
744 344 2.59 0 0.0 0 344
746 344 2.59 0 0.0 0 344
748 344 2.59 0 0.0 0 344
750 344 2.59 0 0.0 0 344
752 344 2.59 0 0.0 0 344
754 344 2.59 0 0.0 0 344
756 344 2.59 0 0.0 0 344
758 344 2.59 0 0.0 0 344
760 344 2.59 0 0.0 0 344
762 344 2.59 0 0.0 0 344
764 344 2.59 0 0.0 0 344
766 344 2.59 0 0.0 0 344
768 344 2.59 0 0.0 0 344
770 344 2.59 0 0.0 0 344
772 344 2.59 0 0.0 0 344
774 344 2.59 0 0.0 0 344
776 344 2.59 0 0.0 0 344
778 344 2.59 0 0.0 0 344
780 344 2.59 0 0.0 0 344
782 344 2.59 0 0.0 0 344
784 344 2.59 0 0.0 0 344
786 344 2.59 0 0.0 0 344
788 344 2.59 0 0.0 0 344
790 344 2.59 0 0.0 0 344
792 344 2.59 0 0.0 0 344
794 344 2.59 0 0.0 0 344
796 344 2.59 0 0.0 0 344
798 344 2.59 0 0.0 0 344
800 344 2.59 0 0.0 0 344
802 344 2.59 0 0.0 0 344
804 344 2.59 0 0.0 0 344
806 344 2.59 0 0.0 0 344
808 344 2.59 0 0.0 0 344
810 344 2.59 0 0.0 0 344
812 344 2.59 0 0.0 0 344
814 344 2.59 0 0.0 0 344
816 344 2.59 0 0.0 0 344
818 344 2.59 0 0.0 0 344
820 344 2.59 0 0.0 0 344
822 344 2.59 0 0.0 0 344
824 344 2.59 0 0.0 0 344
826 344 2.59 0 0.0 0 344
828 344 2.59 0 0.0 0 344
830 344 2.59 0 0.0 0 344
832 344 2.59 0 0.0 0 344
834 344 2.59 0 0.0 0 344
836 344 2.59 0 0.0 0 344
838 344 2.59 0 0.0 0 344
840 344 2.59 0 0.0 0 344
842 344 2.59 0 0.0 0 344
844 344 2.59 0 0.0 0 344
846 344 2.59 0 0.0 0 344
848 344 2.59 0 0.0 0 344
850 344 2.59 0 0.0 0 344
852 344 2.59 0 0.0 0 344
854 344 2.59 0 0.0 0 344
856 344 2.59 0 0.0 0 344
858 344 2.59 0 0.0 0 344
860 344 2.59 0 0.0 0 344
862 344 2.59 0 0.0 0 344
864 344 2.59 0 0.0 0 344
866 344 2.59 0 0.0 0 344
868 344 2.59 0 0.0 0 344
870 344 2.59 0 0.0 0 344
872 344 2.59 0 0.0 0 344
874 344 2.59 0 0.0 0 344
876 344 2.59 0 0.0 0 344
878 344 2.59 0 0.0 0 344
880 344 2.59 0 0.0 0 344
882 344 2.59 0 0.0 0 344
884 344 2.59 0 0.0 0 344
886 344 2.59 0 0.0 0 344
888 344 2.59 0 0.0 0 344
890 344 2.59 0 0.0 0 344
892 344 2.59 0 0.0 0 344
894 344 2.59 0 0.0 0 344
896 344 2.59 0 0.0 0 344
898 344 2.59 0 0.0 0 344
900 344 2.59 0 0.0 0 344
902 344 2.59 0 0.0 0 344
904 344 2.59 0 0.0 0 344
906 344 2.59 0 0.0 0 344
908 344 2.59 0 0.0 0 344
910 344 2.59 0 0.0 0 344
912 344 2.59 0 0.0 0 344
914 344 2.59 0 0.0 0 344
916 344 2.59 0 0.0 0 344
918 344 2.59 0 0.0 0 344
920 344 2.59 0 0.0 0 344
922 344 2.59 0 0.0 0 344
924 344 2.59 0 0.0 0 344
926 344 2.59 0 0.0 0 344
928 344 2.59 0 0.0 0 344
930 344 2.59 0 0.0 0 344
932 344 2.59 0 0.0 0 344
934 344 2.59 0 0.0 0 344
936 344 2.59 0 0.0 0 344
938 344 2.59 0 0.0 0 344
940 344 2.59 0 0.0 0 344
942 344 2.59 0 0.0 0 344
944 344 2.59 0 0.0 0 344
946 344 2.59 0 0.0 0 344
948 344 2.59 0 0.0 0 344
950 344 2.59 0 0.0 0 344
952 344 2.59 0 0.0 0 344
954 344 2.59 0 0.0 0 344
956 344 2.59 0 0.0 0 344
958 344 2.59 0 0.0 0 344
960 344 2.59 0 0.0 0 344
962 344 2.59 0 0.0 0 344
964 344 2.59 0 0.0 0 344
966 344 2.59 0 0.0 0 344
968 344 2.59 0 0.0 0 344
970 344 2.59 0 0.0 0 344
972 344 2.59 0 0.0 0 344
974 344 2.59 0 0.0 0 344
976 344 2.59 0 0.0 0 344
978 344 2.59 0 0.0 0 344
980 344 2.59 0 0.0 0 344
982 344 2.59 0 0.0 0 344
984 344 2.59 0 0.0 0 344
986 344 2.59 0 0.0 0 344
988 344 2.59 0 0.0 0 344
990 344 2.59 0 0.0 0 344
992 344 2.59 0 0.0 0 344
994 344 2.59 0 0.0 0 344
996 344 2.59 0 0.0 0 344
998 344 2.59 0 0.0 0 344
1000 344 2.59 0 0.0 0 344
1002 344 2.59 0 0.0 0 344
1004 344 2.59 0 0.0 0 344
1006 344 2.59 0 0.0 0 344
1008 344 2.59 0 0.0 0 344
1010 344 2.59 0 0.0 0 344
1012 344 2.59 0 0.0 0 344
1014 344 2.59 0 0.0 0 344
1016 344 2.59 0 0.0 0 344
1018 344 2.59 0 0.0 0 344
1020 344 2.59 0 0.0 0 344
1022 344 2.59 0 0.0 0 344
1024 344 2.59 0 0.0 0 344
1026 344 2.59 0 0.0 0 344
1028 344 2.59 0 0.0 0 344
1030 344 2.59 0 0.0 0 344
1032 344 2.59 0 0.0 0 344
1034 344 2.59 0 0.0 0 344
1036 344 2.59 0 0.0 0 344
1038 344 2.59 0 0.0 0 344
1040 344 2.59 0 0.0 0 344
1042 344 2.59 0 0.0 0 344
1044 344 2.59 0 0.0 0 344
1046 344 2.59 0 0.0 0 344
1048 344 2.59 0 0.0 0 344
1050 344 2.59 0 0.0 0 344
1052 344 2.59 0 0.0 0 344
1054 344 2.59 0 0.0 0 344
1056 344 2.59 0 0.0 0 344
1058 344 2.59 0 0.0 0 344
1060 344 2.59 0 0.0 0 344
1062 344 2.59 0 0.0 0 344
1064 344 2.59 0 0.0 0 344
1066 344 2.59 0 0.0 0 344
1068 344 2.59 0 0.0 0 344
1070 344 2.59 0 0.0 0 344
1072 344 2.59 0 0.0 0 344
1074 344 2.59 0 0.0 0 344
1076 344 2.59 0 0.0 0 344
1078 344 2.59 0 0.0 0 344
1080 344 2.59 0 0.0 0 344
1082 344 2.59 0 0.0 0 344
1084 344 2.59 0 0.0 0 344
1086 344 2.59 0 0.0 0 344
1088 344 2.59 0 0.0 0 344
1090 344 2.59 0 0.0 0 344
1092 344 2.59 0 0.0 0 344
1094 344 2.59 0 0.0 0 344
1096 344 2.59 0 0.0 0 344
1098 344 2.59 0 0.0 0 344
1100 344 2.59 0 0.0 0 344
1102 344 2.59 0 0.0 0 344
1104 344 2.59 0 0.0 0 344
1106 344 2.59 0 0.0 0 344
1108 344 2.59 0 0.0 0 344
1110 344 2.59 0 0.0 0 344
1112 344 2.59 0 0.0 0 344
1114 344 2.59 0 0.0 0 344
1116 344 2.59 0 0.0 0 344
1118 344 2.59 0 0.0 0 344
1120 344 2.59 0 0.0 0 344
1122 344 2.59 0 0.0 0 344
1124 344 2.59 0 0.0 0 344
1126 344 2.59 0 0.0 0 344
1128 344 2.59 0 0.0 0 344
1130 344 2.59 0 0.0 0 344
1132 344 2.59 0 0.0 0 344
1134 344 2.59 0 0.0 0 344
1136 344 2.59 0 0.0 0 344
1138 344 2.59 0 0.0 0 344
1140 344 2.59 0 0.0 0 344
1142 344 2.59 0 0.0 0 344
1144 344 2.59 0 0.0 0 344
1146 344 2.59 0 0.0 0 344
1148 344 2.59 0 0.0 0 344
1150 344 2.59 0 0.0 0 344
1152 344 2.59 0 0.0 0 344
1154 344 2.59 0 0.0 0 344
1156 344 2.59 0 0.0 0 344
1158 344 2.59 0 0.0 0 344
1160 344 2.59 0 0.0 0 344
1162 344 2.59 0 0.0 0 344
1164 344 2.59 0 0.0 0 344
1166 344 2.59 0 0.0 0 344
1168 344 2.59 0 0.0 0 344
1170 344 2.59 0 0.0 0 344
1172 344 2.59 0 0.0 0 344
1174 344 2.59 0 0.0 0 344
1176 344 2.59 0 0.0 0 344
1178 344 2.59 0 0.0 0 344
1180 344 2.59 0 0.0 0 344
1182 344 2.59 0 0.0 0 344
1184 344 2.59 0 0.0 0 344
1186 344 2.59 0 0.0 0 344
1188 344 2.59 0 0.0 0 344
1190 344 2.59 0 0.0 0 344
1192 344 2.59 0 0.0 0 344
1194 344 2.59 0 0.0 0 344
1196 344 2.59 0 0.0 0 344
1198 344 2.59 0 0.0 0 344
1200 344 2.59 0 0.0 0 344
1202 344 2.59 0 0.0 0 344
1204 344 2.59 0 0.0 0 344
1206 344 2.59 0 0.0 0 344
1208 344 2.59 0 0.0 0 344
1210 344 2.59 0 0.0 0 344
1212 344 2.59 0 0.0 0 344
1214 344 2.59 0 0.0 0 344
1216 344 2.59 0 0.0 0 344
